user_id,age,gender,country,sessions_per_week,avg_session_duration_min,swipes_right,swipes_left,matches,messages_sent,relationship_goal,app_version,reported_user,premium_status,subscription_amount
1,34,Female,USA,9,14.87,14,97,3,28,Long-term,1.2,None,None,0
2,58,Male,UK,2,16.67,4,10,1,11,Marriage,2.1,None,None,0
3,49,Non-binary,Ghana,2,13.9,6,11,1,15,Friendship,1.0,None,None,0
4,43,Male,Kenya,4,15.71,19,32,3,28,Casual Dating,1.2,None,Gold,1500
5,24,Female,Kenya,12,17.28,22,52,2,22,Friendship,2.1,None,Platinum,1500
6,24,Female,South Africa,13,21.29,37,72,2,21,Marriage,2.0,None,Plus,1500
7,20,Female,South Africa,21,20.54,84,33,3,27,Not Sure,2.0,None,None,0
8,55,Male,Ghana,2,10.63,2,14,0,4,Not Sure,2.1,None,Platinum,5000
9,43,Female,Nigeria,2,12.79,1,13,0,9,Casual Dating,2.0,None,None,0
10,48,Male,UK,4,18.46,7,16,1,8,Friendship,1.0,None,None,0
11,18,Male,USA,8,12.97,6,17,2,24,Casual Dating,2.1,None,Platinum,1500
12,59,Female,Nigeria,3,17.38,3,7,1,16,Friendship,2.1,None,Gold,1500
13,53,Non-binary,Kenya,3,22.08,5,13,0,6,Marriage,1.2,None,None,0
14,27,Female,Ghana,13,22.66,24,55,7,49,Casual Dating,2.0,None,Gold,5000
15,25,Male,Ghana,10,20.5,30,45,2,10,Casual Dating,1.0,None,Plus,5000
16,25,Female,Kenya,8,17.44,29,18,3,24,Casual Dating,2.0,None,None,0
17,31,Male,USA,10,12.28,27,22,3,22,Long-term,1.2,None,None,0
18,40,Male,Nigeria,5,1.36,36,28,9,53,Casual Dating,2.0,None,None,0
19,36,Female,Ghana,8,15.26,51,26,9,38,Not Sure,1.2,Spam,None,0
20,30,Male,Kenya,8,11.31,34,95,5,26,Friendship,2.1,None,Gold,1500
21,44,Non-binary,Nigeria,4,11.83,5,12,1,12,Not Sure,1.1,None,None,0
22,23,Male,Ghana,16,11.92,21,28,5,37,Friendship,2.0,None,None,0
23,30,Male,Nigeria,16,28.36,0,0,0,16,Not Sure,1.2,Spam,Gold,1500
24,33,Female,Kenya,11,17.98,29,41,1,20,Casual Dating,1.1,None,None,0
25,37,Female,Ghana,6,15.07,10,40,1,21,Casual Dating,2.0,None,None,0
26,51,Female,Canada,2,15.16,4,6,1,19,Friendship,2.0,None,None,0
27,26,Male,South Africa,8,12.9,25,41,1,18,Friendship,1.2,None,None,0
28,40,Female,Kenya,8,15.36,54,70,7,38,Long-term,2.1,Harassment,None,0
29,43,Male,Kenya,4,14.75,6,21,2,28,Long-term,1.0,Spam,None,0
30,19,Male,Ghana,15,16.71,47,81,1,6,Not Sure,1.2,None,Platinum,5000
31,44,Female,Nigeria,4,16.73,7,24,1,19,Long-term,2.0,None,None,0
32,25,Male,Nigeria,14,19.87,43,48,2,18,Casual Dating,2.0,None,Gold,5000
33,20,Non-binary,Nigeria,15,14.09,71,174,21,69,Marriage,2.0,None,None,0
34,58,Female,Ghana,3,18.75,2,13,1,7,Marriage,2.0,None,None,0
35,59,Non-binary,South Africa,3,15.33,7,20,1,6,Casual Dating,1.1,None,Platinum,5000
